CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment
36047091200;Kings;Brooklyn;6627;2630;3997;37.01.00;00.06;55.03.00;00.07;04.07;4070;20360.0;4629.00.00;9176.00.00;1685.00.00;49.07.00;63.01.00;20.00;48.09.00;16.03;05.08;09.00;13.02;02.09;75.00.00;04.06;02.06;01.06;49.02.00;1669;85.05.00;13.09;00.06;00.00;23.01
36047091600;Kings;Brooklyn;4790;1997;2793;10.00;00.05;87.03.00;00.00;00.00;2975;31105.0;5028.00.00;14138.0;1690.00.00;33.01.00;35.07.00;16.09;44.09.00;25.07.00;03.04;09.02;09.09;07.08;74.02.00;04.01;02.05;01.05;45.01.00;1640;69.08.00;23.07;06.06;00.00;12.00
36047091800;Kings;Brooklyn;3058;1343;1715;47.00.00;00.00;53.00.00;00.00;00.00;1799;27500.0;7328.00.00;15738.0;2774.00.00;38.09.00;64.08.00;25.02.00;33.01.00;26.05.00;03.01;12.00;24.07.00;02.04;67.03.00;04.07;00.05;00.05;47.06.00;1074;75.04.00;22.01;02.05;00.00;15.03
36047092000;Kings;Brooklyn;3406;1424;1982;18.08;00.03;78.06.00;01.02;00.04;2249;32292.0;16858.0;20712.0;6590.00.00;33.05.00;55.03.00;20.06;44.03.00;25.05.00;02.06;07.00;17.04;05.02;66.07.00;00.03;06.04;04.00;45.07.00;1202;75.05.00;20.03;04.02;00.00;12.05
36047092200;Kings;Brooklyn;2880;1325;1555;00.03;00.07;97.08.00;00.00;00.00;2031;39485.0;20030.0;21279.0;2366.00.00;10.07;09.00;20.06;28.05.00;24.06.00;11.08;14.04;25.02.00;03.00;65.03.00;03.05;01.04;01.06;53.01.00;1184;68.09.00;29.05.00;00.07;00.09;13.05
36047092400;Kings;Brooklyn;3420;1468;1952;16.04;00.01;83.05.00;00.00;00.00;2042;37266.0;7825.00.00;15665.0;2273.00.00;21.03;30.04.00;26.00.00;32.09.00;28.03.00;08.02;04.07;26.03.00;03.04;63.09.00;04.06;00.00;01.08;42.07.00;1461;73.06.00;21.09;04.04;00.00;10.04
36047092800;Kings;Brooklyn;2680;1244;1436;06.09;00.05;89.00.00;01.02;02.03;1744;45762.0;8381.00.00;22763.0;2412.00.00;11.06;02.09;31.05.00;24.07.00;22.03;13.00;08.05;28.03.00;07.07;40.07.00;18.06;02.07;01.09;40.01.00;1235;59.05.00;26.03.00;11.06;02.06;09.03
36047093000;Kings;Brooklyn;2581;1110;1471;01.00;00.01;93.02.00;00.00;00.08;1684;56014.0;5720.00.00;29620.0;5291.00.00;09.07;09.03;39.00.00;24.00.00;23.04;07.05;06.01;30.09.00;03.09;61.08.00;00.00;00.00;03.04;53.03.00;1369;82.02.00;15.04;01.08;00.05;11.08
36047093200;Kings;Brooklyn;1336;632;704;01.00;01.03;96.03.00;00.00;00.00;818;83500.0;33005.0;27941.0;3290.00.00;04.03;02.06;32.04.00;34.03.00;22.09;06.00;04.05;35.07.00;09.08;51.00.00;00.08;01.07;01.01;38.05.00;686;68.02.00;30.08.00;01.00;00.00;13.09
36047093400;Kings;Brooklyn;2464;1034;1430;05.03;02.02;91.03.00;00.00;01.02;1874;51648.0;18663.0;29689.0;3124.00.00;10.08;15.07;33.03.00;26.09.00;31.02.00;06.01;02.05;28.01.00;00.04;64.04.00;04.09;01.02;01.00;49.09.00;1402;75.04.00;23.06;01.00;00.00;09.00
36047093600;Kings;Brooklyn;1882;813;1069;01.04;00.00;94.06.00;00.00;03.01;1258;71964.0;13148.0;26812.0;3690.00.00;06.05;06.01;35.04.00;27.02.00;21.09;10.04;05.02;32.00.00;01.01;64.05.00;00.00;00.09;01.06;45.03.00;906;72.04.00;23.06;04.00;00.00;02.06
36047093800;Kings;Brooklyn;2196;983;1213;01.00;01.02;97.08.00;00.00;00.00;1287;34018.0;10174.0;20880.0;2993.00.00;25.01.00;39.04.00;31.05.00;30.02.00;22.09;10.07;04.07;32.08.00;02.01;57.08.00;01.03;03.08;02.01;39.09.00;991;77.05.00;21.02;01.03;00.00;13.07
36047094401;Kings;Brooklyn;3916;1749;2167;03.08;00.02;95.03.00;00.00;00.00;2613;66167.0;12130.0;26921.0;3033.00.00;14.00;19.07;26.08.00;35.02.00;21.04;06.04;10.03;32.06.00;03.06;60.07.00;00.00;00.00;03.01;50.07.00;1985;74.00.00;23.01;02.09;00.00;15.08
36047094402;Kings;Brooklyn;2907;1039;1868;08.08;02.00;88.02.00;00.00;00.09;1866;23417.0;12218.0;12846.0;2161.00.00;33.06.00;32.05.00;24.06.00;34.08.00;29.07.00;01.00;09.09;15.04;09.07;66.05.00;08.03;00.00;00.00;45.09.00;816;61.03.00;33.02.00;05.05;00.00;19.01
36047094600;Kings;Brooklyn;1990;885;1105;07.06;03.03;84.09.00;03.05;00.00;1184;60950.0;5772.00.00;32512.0;9073.00.00;11.07;13.07;33.05.00;30.03.00;15.08;12.03;08.01;41.03.00;08.01;48.08.00;00.00;01.08;00.00;43.01.00;887;74.06.00;25.04.00;00.00;00.00;10.08
36047095000;Kings;Brooklyn;3236;1367;1869;02.09;03.01;93.00.00;00.00;00.00;2338;68854.0;13803.0;26373.0;3440.00.00;11.05;16.02;28.08.00;26.06.00;27.02.00;07.05;09.08;32.00.00;05.08;55.08.00;03.09;00.03;02.01;48.07.00;1605;65.08.00;30.02.00;04.00;00.00;11.00
36047095400;Kings;Brooklyn;4852;2185;2667;01.03;01.00;96.02.00;00.00;01.03;3010;72610.0;18106.0;23966.0;2805.00.00;11.06;13.04;33.01.00;29.04.00;19.09;04.06;13.00;37.02.00;04.04;53.07.00;03.03;00.00;01.04;49.08.00;2505;72.06.00;20.00;07.05;00.00;08.09
36047095600;Kings;Brooklyn;4618;1914;2704;06.03;04.00;82.00.00;00.00;07.07;2862;65459.0;8737.00.00;23883.0;2770.00.00;15.04;26.04.00;25.05.00;39.09.00;15.09;08.02;10.06;31.04.00;03.07;58.07.00;04.07;01.04;00.00;50.06.00;2439;74.09.00;21.01;04.00;00.00;06.04
36047095800;Kings;Brooklyn;3840;1740;2100;11.09;04.00;77.02.00;00.00;05.06;2654;62431.0;10888.0;26339.0;4996.00.00;13.09;17.03;35.04.00;24.02.00;22.05;08.07;09.03;28.09.00;03.09;57.07.00;05.04;01.07;02.05;49.09.00;1875;78.06.00;15.04;06.00;00.00;08.08
36047096000;Kings;Brooklyn;0;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;
36047096200;Kings;Brooklyn;1828;820;1008;08.02;04.03;86.08.00;00.00;00.07;1309;64750.0;8474.00.00;23068.0;3638.00.00;20.03;21.07;28.00.00;26.01.00;24.08.00;07.05;13.06;31.03.00;07.07;52.07.00;06.02;00.00;02.01;51.04.00;969;64.00.00;30.03.00;05.07;00.00;03.00
36047096400;Kings;Brooklyn;2212;1016;1196;09.05;02.05;83.00.00;00.00;03.04;1359;51631.0;4407.00.00;21308.0;3656.00.00;22.03;45.05.00;30.01.00;30.00.00;20.04;08.04;11.02;34.08.00;03.09;57.09.00;03.05;00.00;00.00;44.02.00;1128;68.04.00;24.00.00;07.06;00.00;07.04
36047096600;Kings;Brooklyn;2359;1201;1158;14.02;05.06;73.05.00;00.00;02.07;1487;70625.0;24724.0;31033.0;9072.00.00;10.08;26.01.00;25.02.00;26.05.00;19.03;13.02;15.08;40.01.00;04.06;54.04.00;00.07;00.03;00.00;43.06.00;1237;76.06.00;18.01;05.03;00.00;04.09
36047096800;Kings;Brooklyn;1481;558;923;08.06;16.02;69.03.00;00.00;05.09;997;62250.0;31548.0;27919.0;6266.00.00;14.07;11.04;45.03.00;21.02;20.09;07.01;05.05;39.07.00;08.02;45.02.00;02.09;01.03;02.06;42.02.00;561;78.03.00;21.07;00.00;00.00;11.08
36047097000;Kings;Brooklyn;2186;851;1335;08.06;08.07;81.01.00;00.00;01.07;1386;81548.0;18633.0;31619.0;4852.00.00;13.00;21.00;34.00.00;26.04.00;18.09;06.09;13.09;35.05.00;06.02;54.07.00;02.07;00.00;00.09;47.01.00;1183;63.00.00;33.01.00;03.09;00.00;10.02
36047097400;Kings;Brooklyn;3142;1284;1858;12.06;07.01;76.04.00;00.00;01.03;1971;56992.0;5307.00.00;18334.0;2309.00.00;19.01;10.06;34.08.00;32.05.00;17.01;04.07;10.09;22.09;11.02;59.06.00;01.09;01.01;03.03;48.08.00;1079;74.00.00;22.02;03.09;00.00;07.09
36047098200;Kings;Brooklyn;4124;1544;2580;17.03;00.00;82.03.00;00.00;00.00;2614;19720.0;2621.00.00;12376.0;1847.00.00;42.06.00;58.01.00;21.05;41.07.00;20.06;02.02;13.09;09.01;05.07;74.00.00;10.04;00.09;00.00;48.04.00;1361;66.03.00;30.01.00;03.06;00.00;14.03
36047098400;Kings;Brooklyn;2035;888;1147;02.04;03.06;91.08.00;00.00;02.01;1336;71146.0;11363.0;26168.0;5205.00.00;19.01;41.06.00;46.00.00;23.05;23.05;03.08;03.03;28.00.00;05.03;61.03.00;01.02;02.01;02.01;48.09.00;976;70.08.00;24.06.00;04.06;00.00;05.00
36047098600;Kings;Brooklyn;3362;1514;1848;05.08;01.03;88.06.00;00.00;01.09;2072;69375.0;8713.00.00;24624.0;2324.00.00;08.00;15.04;38.01.00;26.07.00;17.01;04.01;14.00;30.04.00;05.04;58.06.00;03.09;00.06;01.00;58.02.00;1770;72.04.00;22.07;04.09;00.00;08.05
36047098800;Kings;Brooklyn;3117;1448;1669;06.00;07.04;84.08.00;00.00;00.09;2054;59348.0;17606.0;24914.0;3123.00.00;16.04;27.02.00;37.05.00;31.03.00;17.07;09.09;03.06;32.03.00;07.02;48.07.00;08.06;01.07;01.04;41.08.00;1374;73.03.00;21.03;05.04;00.00;09.05
36047099000;Kings;Brooklyn;1552;740;812;05.02;06.00;84.03.00;00.00;02.05;919;75208.0;18843.0;33300.0;10816.0;15.01;15.08;25.04.00;27.00.00;25.07.00;08.09;13.00;42.05.00;07.01;37.09.00;08.00;01.08;02.08;40.09.00;795;76.00.00;18.06;05.04;00.00;10.06
36047099200;Kings;Brooklyn;2103;912;1191;05.09;03.09;84.09.00;02.03;00.09;1244;66964.0;16020.0;21461.0;2692.00.00;20.06;28.07.00;25.07.00;33.03.00;24.00.00;07.04;09.05;30.08.00;01.05;60.00.00;01.05;01.02;05.00;51.02.00;995;75.03.00;19.02;05.05;00.00;09.07
36047099400;Kings;Brooklyn;2023;995;1028;10.08;08.04;79.02.00;01.06;00.00;1242;64043.0;10890.0;25690.0;3707.00.00;16.07;37.06.00;32.08.00;24.02.00;19.02;09.03;14.05;37.05.00;05.06;54.00.00;00.04;02.01;00.05;50.03.00;1089;71.03.00;28.03.00;00.05;00.00;05.07
36047099600;Kings;Brooklyn;3819;1785;2034;02.09;04.08;88.02.00;00.00;04.00;2363;64375.0;11307.0;29025.0;6815.00.00;09.09;13.03;35.00.00;27.05.00;19.02;04.09;13.03;34.01.00;10.00;51.03.00;02.01;02.05;00.00;52.03.00;1930;70.08.00;24.00.00;05.02;00.00;14.05
36047099800;Kings;Brooklyn;3702;1707;1995;04.00;03.05;90.01.00;00.00;01.00;2305;72143.0;13181.0;27374.0;4122.00.00;10.03;23.03;36.09.00;23.05;15.04;08.03;15.09;44.09.00;08.02;44.06.00;00.00;01.06;00.07;48.02.00;1933;71.08.00;25.00.00;03.02;00.00;06.08
