index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36005037300,5463.0,2482.0,2981.0,0.6304,0.020099999999999996,0.32030000000000003,0.0,0.0101,0.3703,2037300.0,['1965 HUGHES AVENUE'],['LinkNYC - Citybridge'],373,['Bronx'],1
36005037400,3713.0,1814.0,1899.0,0.4202,0.0101,0.5009,0.0,0.030899999999999997,0.39039999999999997,2037400.0,['Cruger Av 1/P/S/O Magenta St'],['ALTICEUSA'],374,['Bronx'],2
36005037504,3690.0,1681.0,2009.0,0.5909,0.07,0.31,0.0,0.020099999999999996,0.5107,2037504.0,['1961 ARTHUR AVENUE'],['LinkNYC - Citybridge'],37504,['Bronx'],1
36005037900,5287.0,2423.0,2864.0,0.5107,0.01,0.4403,0.0,0.0004,0.4301,2037900.0,['1948 WEBSTER AVENUE'],['LinkNYC - Citybridge'],379,['Bronx'],1
36005038100,6534.0,3191.0,3343.0,0.7306999999999999,0.0008,0.2206,0.0,0.0108,0.3403,2038100.0,['305 EAST BURNSIDE AVENUE'],['LinkNYC - Citybridge'],381,['Bronx'],1
36005038301,4356.0,1962.0,2394.0,0.7304,0.0108,0.2302,0.0,0.0,0.3909,2038301.0,['2366-2370 Grand Concourse'],['LinkNYC - Citybridge'],383,['Bronx'],2
36005039100,6808.0,3199.0,3609.0,0.7302,0.1505,0.08039999999999999,0.0,0.0102,0.4104,2039100.0,['610 EAST 186 STREET'],['NYPL'],391,['Bronx'],1
36005039500,3980.0,1815.0,2165.0,0.6701,0.0101,0.3009,0.01,0.0,0.3407,2039500.0,['4201 3 AVENUE'],['LinkNYC - Citybridge'],395,['Bronx'],3
36005039901,5168.0,2595.0,2573.0,0.7106999999999999,0.0105,0.1703,0.0,0.060599999999999994,0.4704,2039901.0,['right side of bandshell'],['ALTICEUSA'],39901,['Bronx'],8
36005039902,5156.0,2265.0,2891.0,0.6409,0.10039999999999999,0.2202,0.0006,0.01,0.4203,2039902.0,['2461 WEBSTER AVENUE'],['LinkNYC - Citybridge'],399,['Bronx'],2
36005040100,5088.0,2629.0,2459.0,0.8101999999999999,0.0305,0.1208,0.0,0.020499999999999997,0.4203,2040100.0,['ON MAST ON ROOF'],['ALTICEUSA'],401,['Bronx'],7
36005040302,4151.0,1957.0,2194.0,0.7609,0.0009,0.1303,0.0008,0.0409,0.3503,2040302.0,['Kingbridge Road - Grand Concourse'],['Transit Wireless'],40302,['Bronx'],1
